平台,平台ID,C门店ID,最新评分,有订单
美团,21083636,C00350,4.6,True
美团,21110410,C12888,0.0,False
美团,21115648,C12057,4.4,True
美团,21138373,C13261,0.0,False
美团,21183925,C13177,4.4,True
美团,21195454,C13179,4.6,True
美团,2121091,C03132,4.5,True
美团,21214877,C12505,4.7,True
美团,21238235,C13219,4.7,False
美团,21263224,C00152,4.6,True
美团,21263855,C13241,4.7,True
美团,21304252,C13175,4.8,True
美团,21349047,C13310,0.0,True
美团,21361986,C13247,4.7,True
美团,21376468,C13240,0.0,False
美团,21378916,C13333,0.0,False
美团,21446767,C13357,4.7,True
美团,21446991,C00927,4.4,True
美团,21469686,C00809,0.0,True
美团,21490573,C12241,0.0,False
美团,21584478,C13220,4.6,True
美团,21600439,C13207,4.4,True
美团,21604548,C01138,4.0,True
美团,21634496,C12097,4.7,True
美团,21665743,C13451,0.0,False
美团,2172028,C02043,4.7,True
美团,2175995,C03006,4.7,True
美团,21784444,C10119,0.0,False
美团,21801081,C13443,0.0,True
美团,21831704,C13439,4.7,True
美团,2185128,C02386,3.9,True
美团,22071092,C00033,4.3,True
美团,22074510,C13199,0.0,False
美团,22078543,C11819,4.6,True
美团,22104809,C13392,4.3,True
美团,22232679,C13513,4.7,True
美团,22236010,C13362,4.6,True
美团,22880086,C13437,4.9,True
美团,23099381,C13469,0.0,False
美团,2318484,C00385,0.0,True
美团,2319358,C00312,0.0,True
美团,2319435,C00292,4.6,True
美团,2319436,C00267,4.8,True
美团,2319441,C00227,4.1,True
美团,2319444,C00222,4.5,True
美团,2319521,C00182,0.0,True
美团,2324876,C02247,4.5,True
美团,2339346,C00170,4.3,True
美团,2353690,C01091,4.5,True
美团,23639516,C09193,4.5,True
美团,23689721,C00708,0.0,False
美团,23741750,C05703,4.4,True
美团,23779789,C13559,0.0,False
美团,23780207,C00509,4.7,True
美团,23810867,C13401,4.6,True
美团,23904650,C12935,4.5,True
美团,23929405,C13595,4.2,False
美团,23978060,C00752,4.7,True
美团,2398232,C00696,4.3,True
美团,2401198,C02216,0.0,True
美团,24027266,C13521,0.0,False
美团,24036060,C10283,4.6,True
美团,24036493,C10284,4.5,True
美团,24036816,C01007,4.5,True
美团,24036831,C10915,4.6,True
美团,24081836,C13618,4.2,True
美团,24085565,C13327,4.6,True
美团,24182576,C07193,4.1,True
美团,24218624,C13562,4.3,True
