门店ID,门店名称,分公司,战区,省区,办事处,门店状态,门店类型,加盟&直营,门店分类,美团id,饿了么id,京东秒送id,微盟小程序id,口碑id,美团团购id,抖音id,快手id,高德平台id,TCODE,是否能做线上
C06111,广州天河元岗专卖店,广东公司,广州战区,广东省区,广佛办,关店,专卖店,加盟,街铺,,,,,318275,1149978148.0,,,,1,是
C06112,天津华润万家秀谷店,陕西公司,北京战区,京津冀省区,天津办,关店,专卖店,加盟,综合体,,,,,,,,,,1,是
C06113,北京永辉绿源店,陕西公司,北京战区,京津冀省区,北京办,关店,专卖店,加盟,商超,8238016,2019389667,,,316175,,,,,1,是
C06115,西安中海九号店,陕西公司,西安战区,陕西省区,西安办,关店,专卖店,加盟,街铺,8004688,,,,,,,,,1,是
C06116,衡阳庙街店,江西公司,长沙战区,湖南省区,衡邵办,关店,专卖店,加盟,街铺,,,,,,,,,,1,是
C06117,宝安塘尾地铁店,广东公司,深圳战区,广东省区,宝安办,正常营业,专卖店,加盟,交通枢纽,8073992,304955769,16130448.0,6015118830849,318269,587764347,6767981416857831432,3001893632075993218,2025111911077000000113643651|xiniu_xgc_bgc,1,是
C06119,宝安沙井新二村专卖店,广东公司,深圳战区,广东省区,宝安办,关店,专卖店,加盟,街铺,,,,,,1792055694,,,,1,是
C06121,云南艺术学院呈贡店,重庆公司,贵阳战区,云贵省区,昆明办,关店,专卖店,加盟,街铺,,,,,329763,1169586459,,,,1,是
C06123,龙岗布吉吉华路专卖店,广东公司,深圳战区,广东省区,龙岗办,关店,专卖店,加盟,街铺,7988200,500683049,,6014340663849,320110,5080283,,,,1,是
C06126,福州树汤路店,江西公司,福州战区,福建省区,福州办,正常营业,专卖店,加盟,街铺,7814540,300716291,15905430.0,6014416315849,318516,158436556,6730388308674873358,3002830756733752396,2026031011077000000115343023|xiniu_xgc_bgc,1,是
C06130,吉林财富店,陕西公司,沈阳战区,辽吉省区,长春办,关店,专卖店,加盟,综合体,,,,,,,,,,1,是
C06131,湛江万达广场专卖店,广东公司,广州战区,广东省区,中珠办,关店,专卖店,加盟,综合体,,,,,,1034668957,,,,1,是
C06132,河南濮阳恒丰广场店,陕西公司,郑州战区,河南省区,豫北办,关店,专卖店,加盟,街铺,,,,,,,,,,1,是
C06133,文昌中学教育路专卖店,广东公司,海口战区,海南办,海南办,关店,专卖店,加盟,街铺,11098893,,,6014905170849,600774,99318567,7000749877109983245,,,1,是
C06135,江苏常州名都超市店,浙江公司,苏州战区,江苏省区,苏州办,关店,专卖店,加盟,商超,,,,,,,,,,1,是
C06136,宝安龙华郭吓村专卖店,广东公司,深圳战区,广东省区,宝安办,关店,专卖店,加盟,街铺,,,,,,551232192,,,,1,是
C06137,山东聊城大学店,浙江公司,青岛战区,山东省区,济南办,关店,专卖店,加盟,特殊渠道,14000168,,,6015069012849,318529,1188872334,6743579162939852804,,,1,是
C06138,新建新城吾悦广场店,江西公司,南昌一战区,江西一区,南昌一办,暂停营业,专卖店,加盟,街铺,7894441,507676785,16638136.0,6015338546849,317990,1787795735,6899931664021981198,3002760171969385932,,1,是
C06139,广州白云横沙专卖店,广东公司,广州战区,广东省区,广佛办,关店,专卖店,加盟,街铺,,,,,,1113895469,,,,1,是
C06141,哈尔滨万象汇店,陕西公司,沈阳战区,辽吉省区,哈尔滨办,关店,专卖店,加盟,商超,8398339,1102758994,,6015119964849,320799,918494963,6861627487114332173,,,1,是
C06142,贵港高铁站专柜店,广东公司,南宁战区,广西省区,柳桂办,关店,专卖店,加盟,高势能,,,,,,,,,,1,否
C06145,平南高铁站店,广东公司,南宁战区,广西省区,柳桂办,关店,专卖店,加盟,高势能,,,,,,,,,,1,否
C06146,桂林西高铁站专柜店,广东公司,南宁战区,广西省区,柳桂办,关店,专卖店,加盟,高势能,,,,,,,,,,1,否
C06147,三亚蓝海专卖店,广东公司,海口战区,海南办,海南办,关店,专卖店,加盟,街铺,,,,,,,,,,1,是
C06151,九江学院店,江西公司,九江战区,江西二区,九江办,关店,专卖店,加盟,特殊渠道,304943513,304943513,,6015164686849,317899,,,,,1,是
C06152,安徽太白岛服务区店,浙江公司,苏州战区,安徽办,安徽办,关店,专卖店,加盟,交通枢纽,,,,,,,,,,1,否
C06153,惠州机场专卖店,广东公司,东莞战区,广东省区,惠汕办,关店,专卖店,加盟,高势能,,,,,,,,,,1,是
C06160,莆田仙游天博专卖店,江西公司,福州战区,福建省区,福州办,关店,专卖店,加盟,商超,19474810,336737561,,6014011050849,322753,957579874,6864778327861839887,,,1,是
C06161,杭州东阳横店店,浙江公司,杭州战区,浙江省区,金衢办,关店,专卖店,加盟,街铺,7963903,335712286,,,322742,984302660,,,,1,是
C06163,火车站西广场小罗食品店,江西公司,南昌一战区,江西二区,南昌三办,关店,专卖店,加盟,高势能,,,,,,,,,,1,是
C06166,陕西咸阳沣西吾悦华润万家店,陕西公司,西安战区,陕西省区,陕西外阜办,关店,专卖店,加盟,商超,13151419,2099351610,16384009.0,6013998533849,600966,,7027338758315837447,,,1,是
C06172,青岛市北台东利群万达,浙江公司,青岛战区,山东省区,青岛办,关店,专卖店,加盟,综合体,,,,,,,,,,1,是
